file,shape,dtype,ndim,min,max,mean,std,error
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000010.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000011.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000012.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000013.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000014.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000015.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000016.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000017.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000018.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000019.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000020.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000021.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000022.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000023.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000024.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000025.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000026.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000027.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000028.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000029.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000030.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000031.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000032.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000033.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000034.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000035.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000036.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000037.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000038.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000039.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000040.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000041.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000042.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000043.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000044.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000045.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000046.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000047.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000048.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000049.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000050.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000051.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000052.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000053.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000054.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000055.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000056.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000057.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000058.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000059.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000060.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000061.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000062.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000063.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000064.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000065.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000066.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000067.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000068.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000069.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000070.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000071.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000072.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000073.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000074.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000075.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000076.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000077.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000078.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000079.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000080.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000081.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000082.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000083.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000084.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000085.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000086.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000087.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000088.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000089.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000090.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000091.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000092.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000093.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000094.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000095.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000096.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000097.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000098.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000099.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000100.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000101.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000102.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000103.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000104.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000105.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000106.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000107.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000108.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000109.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000110.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000111.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000112.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000113.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000114.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000115.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000116.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000117.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000118.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
